date,statusList,zscore,TRXUSDT_position,TRXUSDT_price,ENJUSDT_position,ENJUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.01322,0.0,0.07963,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.01284,0.0,0.07371,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.01344,0.0,0.078,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.01344,0.0,0.0772,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.01353,0.0,0.07637,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.01472,0.0,0.07578,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.01434,0.0,0.073,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.01402,0.0,0.0754,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.01398,0.0,0.07193,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.01469,0.0,0.073,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.0146,0.0,0.0721,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.01503,0.0,0.07214,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.01464,0.0,0.07174,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.01677,0.0,0.07253,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.01729,0.0,0.076,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.01734,0.0,0.08131,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.01758,0.0,0.08039,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.01766,0.0,0.07721,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.01665,0.0,0.07361,200000,200000.0,0.0,1.0
2020-01-20,0,0.8794985990962475,0.0,0.01661,0.0,0.0758,200000,200000.0,0.0,1.0
2020-01-21,1,1.120658063761192,-5773672.055427252,0.01732,1305312.6223730585,0.07661,200000,200000.0,0.0,1.0
2020-01-22,1,0.8821507870132097,-5773672.055427252,0.01743,1305312.6223730585,0.07815,200000,202645.28536455153,2645.285364551528,1.0132264268227575
2020-01-23,0,-1.0600150545119849,0.0,0.01628,0.0,0.08656,200000,181007.52046974376,-18992.47953025624,0.9050376023487188
2020-01-24,0,-0.936236810215979,0.0,0.01639,0.0,0.08515,200000,181007.52046974376,-18992.47953025624,0.9050376023487188
2020-01-25,-2,-1.5854808024776634,0.0,0.01613,0.0,0.0882,200000,181007.52046974376,-18992.47953025624,0.9050376023487188
2020-01-26,0,-0.9642091528874807,0.0,0.01684,0.0,0.08741,200000,181007.52046974376,-18992.47953025624,0.9050376023487188
2020-01-27,-1,-1.1002406039223345,5283348.5250946805,0.01713,-1002700.645190249,0.09026,200000,181007.52046974376,-18992.47953025624,0.9050376023487188
2020-01-28,0,0.13078942741648947,0.0,0.0186,0.0,0.08811,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-01-29,0,-0.12506996864018094,0.0,0.01866,0.0,0.08978,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-01-30,-1,-1.0034162378130134,4386799.788479372,0.0195,-850324.0146654848,0.1006,200000,171085.19175069552,-28914.80824930448,0.8554259587534776
2020-01-31,-1,-0.8375398875497421,4386799.788479372,0.01867,-850324.0146654848,0.09531,200000,162945.93388867722,-37054.06611132278,0.8147296694433861
2020-02-01,-2,-1.5267017522600763,0.0,0.01907,0.0,0.10476,200000,176508.86356075006,-23491.136439249938,0.8825443178037503
2020-02-02,-2,-1.914104238452621,0.0,0.01909,0.0,0.1123,200000,176508.86356075006,-23491.136439249938,0.8825443178037503
2020-02-03,-2,-1.8809718375227324,0.0,0.0192,0.0,0.11619,200000,176508.86356075006,-23491.136439249938,0.8825443178037503
2020-02-04,-2,-2.7057420411146618,0.0,0.01925,0.0,0.1469,200000,176508.86356075006,-23491.136439249938,0.8825443178037503
2020-02-05,-2,-1.5365891744193827,0.0,0.02076,0.0,0.13421,200000,176508.86356075006,-23491.136439249938,0.8825443178037503
2020-02-06,-1,-1.0178142064980897,3886148.471174594,0.02271,-642972.6925570088,0.13726,200000,176508.86356075006,-23491.136439249938,0.8825443178037503
2020-02-07,-1,-0.8297649960759178,3886148.471174594,0.02204,-642972.6925570088,0.13106,200000,169918.71339120966,-30081.28660879034,0.8495935669560484
2020-02-08,-1,-0.6860840150101867,3886148.471174594,0.02179,-642972.6925570088,0.1283,200000,167172.57164195864,-32827.42835804136,0.8358628582097932
2020-02-09,-1,-0.7977721317905426,3886148.471174594,0.02206,-642972.6925570088,0.13362,200000,171642.44645357906,-28357.55354642094,0.8582122322678953
2020-02-10,-1,-1.0366646685858458,3886148.471174594,0.02216,-642972.6925570088,0.14051,200000,176461.1431524143,-23538.856847585703,0.8823057157620715
2020-02-11,-1,-0.6804819230008754,3886148.471174594,0.02272,-642972.6925570088,0.13851,200000,177351.44091115805,-22648.559088841954,0.8867572045557902
2020-02-12,-1,-0.3615467848460803,3886148.471174594,0.02393,-642972.6925570088,0.14127,200000,183828.28519273666,-16171.714807263343,0.9191414259636833
2020-02-13,0,0.018621191944112957,0.0,0.02391,0.0,0.13586,200000,170945.32362576074,-29054.676374239265,0.8547266181288037
2020-02-14,0,0.3967895541022093,0.0,0.02639,0.0,0.144,200000,170945.32362576074,-29054.676374239265,0.8547266181288037
2020-02-15,0,0.1619803170018382,0.0,0.02364,0.0,0.13284,200000,170945.32362576074,-29054.676374239265,0.8547266181288037
2020-02-16,0,0.2457014582390196,0.0,0.02223,0.0,0.12425,200000,170945.32362576074,-29054.676374239265,0.8547266181288037
2020-02-17,0,-0.7623176959957386,0.0,0.02179,0.0,0.13694,200000,170945.32362576074,-29054.676374239265,0.8547266181288037
2020-02-18,0,-0.5424856667101424,0.0,0.02262,0.0,0.13992,200000,170945.32362576074,-29054.676374239265,0.8547266181288037
2020-02-19,-2,-1.3146994593298593,0.0,0.0202,0.0,0.13558,200000,170945.32362576074,-29054.676374239265,0.8547266181288037
2020-02-20,-1,-1.1911407427773764,4316801.101660624,0.0198,-647029.9910134774,0.1321,200000,170945.32362576074,-29054.676374239265,0.8547266181288037
