date,statusList,zscore,TRXUSDT_position,TRXUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.01322,0.0,0.03832,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.01284,0.0,0.03642,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.01344,0.0,0.03906,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.01344,0.0,0.04027,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.01353,0.0,0.03847,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.01472,0.0,0.03949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.01434,0.0,0.0372,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.01402,0.0,0.03686,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.01398,0.0,0.0374,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.01469,0.0,0.03619,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.0146,0.0,0.03779,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.01503,0.0,0.03987,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.01464,0.0,0.04063,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.01677,0.0,0.03899,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.01729,0.0,0.04001,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.01734,0.0,0.03962,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.01758,0.0,0.0422,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.01766,0.0,0.04109,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.01665,0.0,0.03771,200000,200000.0,0.0,1.0
2020-01-20,2,1.4867109915194876,0.0,0.01661,0.0,0.03734,200000,200000.0,0.0,1.0
2020-01-21,2,1.5781745214107805,0.0,0.01732,0.0,0.03802,200000,200000.0,0.0,1.0
2020-01-22,1,1.0832963745462396,-5737234.652897303,0.01743,2530364.3724696357,0.03952,200000,200000.0,0.0,1.0
2020-01-23,1,0.7452250423688744,-5737234.652897303,0.01628,2530364.3724696357,0.03775,200000,188923.43520989682,-11076.564790103177,0.9446171760494841
2020-01-24,1,0.3815950045896049,-5737234.652897303,0.01639,2530364.3724696357,0.03893,200000,192540.3609812297,-7459.639018770307,0.9627018049061484
2020-01-25,0,-0.24058076418242996,0.0,0.01613,0.0,0.03989,200000,191605.36013341972,-8394.639866580284,0.9580268006670986
2020-01-26,0,0.662146019469049,0.0,0.01684,0.0,0.03889,200000,191605.36013341972,-8394.639866580284,0.9580268006670986
2020-01-27,0,0.8271111905706301,0.0,0.01713,0.0,0.03892,200000,191605.36013341972,-8394.639866580284,0.9580268006670986
2020-01-28,2,2.2699930326352615,0.0,0.0186,0.0,0.03767,200000,191605.36013341972,-8394.639866580284,0.9580268006670986
2020-01-29,2,2.211628067630131,0.0,0.01866,0.0,0.03698,200000,191605.36013341972,-8394.639866580284,0.9580268006670986
2020-01-30,2,1.9695312021740081,0.0,0.0195,0.0,0.0383,200000,191605.36013341972,-8394.639866580284,0.9580268006670986
2020-01-31,1,1.0896118591210038,-5131370.116053019,0.01867,2462793.832049097,0.0389,200000,191605.36013341972,-8394.639866580284,0.9580268006670986
2020-02-01,2,1.3436987749610019,0.0,0.01907,0.0,0.03862,200000,194347.49045281467,-5652.509547185327,0.9717374522640734
2020-02-02,1,1.0627958086805038,-5090295.716417356,0.01909,2466338.711330136,0.0394,200000,194347.49045281467,-5652.509547185327,0.9717374522640734
2020-02-03,1,0.4488566649957557,-5090295.716417356,0.0192,2466338.711330136,0.04111,200000,199124.86217799512,-875.1378220048791,0.9956243108899756
2020-02-04,1,0.4123293455583331,-5090295.716417356,0.01925,2466338.711330136,0.04117,200000,199527.3572864958,-472.64271350420313,0.997636786432479
2020-02-05,2,1.4897700007232872,0.0,0.02076,0.0,0.04095,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-06,0,0.7311016033320008,0.0,0.02271,0.0,0.04684,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-07,0,0.266656981740295,0.0,0.02204,0.0,0.04669,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-08,0,0.6515814638498882,0.0,0.02179,0.0,0.04483,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-09,0,-0.6567746256440532,0.0,0.02206,0.0,0.04946,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-10,0,-0.31238519797308256,0.0,0.02216,0.0,0.04853,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-11,0,-0.7505585894764379,0.0,0.02272,0.0,0.05124,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-12,0,-0.5365497114982686,0.0,0.02393,0.0,0.05301,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-13,0,-0.9897805984863618,0.0,0.02391,0.0,0.05431,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-14,0,0.5811327157514616,0.0,0.02639,0.0,0.05425,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-15,0,-0.001631877805307479,0.0,0.02364,0.0,0.04983,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-16,0,0.08235303517509635,0.0,0.02223,0.0,0.0465,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-17,0,0.01554238791827158,0.0,0.02179,0.0,0.0458,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-18,0,-0.06811076954025862,0.0,0.02262,0.0,0.04787,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-19,0,0.4067725965989743,0.0,0.0202,0.0,0.04213,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-20,0,0.5871610732131042,0.0,0.0198,0.0,0.04101,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-21,0,0.45183108072984796,0.0,0.02016,0.0,0.04205,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-22,0,0.32230793185191337,0.0,0.02002,0.0,0.04199,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-23,1,1.081455010713823,-4665388.169167135,0.02133,2291863.879510248,0.04342,200000,199025.45929666996,-974.5407033300435,0.9951272964833497
2020-02-24,1,0.8996302107860699,-4665388.169167135,0.01988,2291863.879510248,0.04061,200000,185820.50894995383,-14179.49105004617,0.9291025447497692
2020-02-25,2,1.70313599491918,0.0,0.01891,0.0,0.03761,200000,201050.94906724003,1050.949067240028,1.0052547453362002
2020-02-26,2,1.455575648641166,0.0,0.01636,0.0,0.03268,200000,201050.94906724003,1050.949067240028,1.0052547453362002
2020-02-27,2,2.048959256851325,0.0,0.01701,0.0,0.03278,200000,201050.94906724003,1050.949067240028,1.0052547453362002
2020-02-28,2,2.073855978218086,0.0,0.0171,0.0,0.03242,200000,201050.94906724003,1050.949067240028,1.0052547453362002
2020-02-29,2,1.309145540465143,0.0,0.01648,0.0,0.03215,200000,201050.94906724003,1050.949067240028,1.0052547453362002
2020-03-01,1,1.0209081267787838,-6118409.892490567,0.01643,3110317.900173886,0.03232,200000,201050.94906724003,1050.949067240028,1.0052547453362002
2020-03-02,1,0.8051138468666413,-6118409.892490567,0.01759,3110317.900173886,0.03483,200000,215955.20247196552,15955.202471965516,1.0797760123598277
2020-03-03,1,0.8302906672631557,-6118409.892490567,0.01723,3110317.900173886,0.03397,200000,211077.70151651936,11077.701516519359,1.0553885075825968
2020-03-04,0,-0.43456189877482326,0.0,0.01774,0.0,0.03653,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-05,0,-0.0774715814261448,0.0,0.01789,0.0,0.03638,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-06,0,-0.0277931500548903,0.0,0.01833,0.0,0.03714,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-07,0,-0.8952834569364241,0.0,0.01699,0.0,0.03539,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-08,0,-0.41170667300509906,0.0,0.01465,0.0,0.02999,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-09,2,1.826903865299371,0.0,0.01504,0.0,0.02859,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-10,2,1.4598928670449665,0.0,0.01508,0.0,0.02883,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-11,2,1.4680983173697693,0.0,0.01489,0.0,0.0283,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-12,2,4.121757760604222,0.0,0.00841,0.0,0.01071,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-13,2,3.046573134123757,0.0,0.01029,0.0,0.01262,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-14,2,2.6887858478365096,0.0,0.00973,0.0,0.01116,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-15,2,2.297140760112054,0.0,0.01026,0.0,0.01147,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-16,2,2.2870871861005213,0.0,0.00961,0.0,0.00987,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-17,2,1.7018127570634316,0.0,0.01002,0.0,0.01088,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-18,2,1.5647636765862027,0.0,0.01022,0.0,0.01092,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-19,2,1.3223804840537072,0.0,0.01163,0.0,0.01264,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-20,0,0.9212457782008365,0.0,0.01127,0.0,0.01311,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-21,0,0.6966340611812712,0.0,0.01123,0.0,0.01353,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-22,0,0.8009268569464545,0.0,0.0103,0.0,0.01187,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-23,0,0.6044922158963858,0.0,0.01137,0.0,0.01348,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-24,0,0.5022696677156173,0.0,0.01151,0.0,0.01374,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-25,0,0.20964872066532708,0.0,0.01139,0.0,0.0143,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-26,0,0.3639322624779117,0.0,0.01196,0.0,0.01429,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-27,0,0.03530355557540657,0.0,0.01121,0.0,0.01405,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-28,0,0.23450233800299788,0.0,0.01139,0.0,0.01354,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-29,0,0.2298662832296947,0.0,0.01066,0.0,0.0125,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-30,0,-0.14263662096919302,0.0,0.01145,0.0,0.01381,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-03-31,0,-0.6531425214010316,0.0,0.01157,0.0,0.01404,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-01,0,-0.7890305317133981,0.0,0.01158,0.0,0.01411,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-02,0,-0.6742637229494455,0.0,0.01196,0.0,0.01446,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-03,0,-0.659468690160184,0.0,0.01194,0.0,0.01447,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-04,0,-0.8857760535021525,0.0,0.01197,0.0,0.01478,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-05,0,0.6907071999365747,0.0,0.01257,0.0,0.01437,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-06,0,0.8030281211313489,0.0,0.01375,0.0,0.01573,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-07,0,0.32435042049565205,0.0,0.0133,0.0,0.01564,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-08,0,0.7709403884511433,0.0,0.01376,0.0,0.01609,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-09,-2,-1.2796991598350604,0.0,0.01345,0.0,0.0167,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-10,0,0.164545216953181,0.0,0.01248,0.0,0.01487,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-11,0,0.1751764627963998,0.0,0.0125,0.0,0.01492,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-12,0,0.3363270971902568,0.0,0.01266,0.0,0.01505,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-13,0,0.4078590822613748,0.0,0.01257,0.0,0.01491,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-14,0,-0.28886943416875205,0.0,0.01245,0.0,0.015,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-15,2,1.272502767565863,0.0,0.01219,0.0,0.01411,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-16,2,1.5862520893572412,0.0,0.01302,0.0,0.01491,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-17,0,0.7918465080420173,0.0,0.01289,0.0,0.01502,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-18,1,1.1569200113045182,-7317835.237739753,0.01339,6346231.465889592,0.01544,200000,195971.6276666706,-4028.372333329404,0.979858138333353
2020-04-19,0,-0.6050667090046657,0.0,0.0129,0.0,0.01555,200000,191687.80293893028,-8312.197061069717,0.9584390146946514
2020-04-20,0,0.8379968784790414,0.0,0.0124,0.0,0.01438,200000,191687.80293893028,-8312.197061069717,0.9584390146946514
2020-04-21,0,0.9479724099196181,0.0,0.01249,0.0,0.01441,200000,191687.80293893028,-8312.197061069717,0.9584390146946514
2020-04-22,1,1.0686249742349707,-7383967.7557369135,0.01298,6436796.606411359,0.01489,200000,191687.80293893028,-8312.197061069717,0.9584390146946514
2020-04-23,2,1.5438335471993563,0.0,0.01361,0.0,0.01536,200000,193314.40822003118,-6685.591779968818,0.9665720411001559
2020-04-24,-2,-1.4501154879974734,0.0,0.01392,0.0,0.01693,200000,193314.40822003118,-6685.591779968818,0.9665720411001559
2020-04-25,-2,-3.7187712708830682,0.0,0.01396,0.0,0.02032,200000,193314.40822003118,-6685.591779968818,0.9665720411001559
2020-04-26,-2,-1.6978317658927726,0.0,0.01426,0.0,0.01874,200000,193314.40822003118,-6685.591779968818,0.9665720411001559
2020-04-27,-2,-2.163242427089001,0.0,0.01452,0.0,0.02023,200000,193314.40822003118,-6685.591779968818,0.9665720411001559
2020-04-28,-2,-1.4749548356260183,0.0,0.01528,0.0,0.02055,200000,193314.40822003118,-6685.591779968818,0.9665720411001559
2020-04-29,0,-0.8563657126773844,0.0,0.01624,0.0,0.02094,200000,193314.40822003118,-6685.591779968818,0.9665720411001559
2020-04-30,-1,-1.0221512039359149,6363212.910468439,0.01519,-4840120.386079899,0.01997,200000,193314.40822003118,-6685.591779968818,0.9665720411001559
2020-05-01,-1,-0.7890064505015578,6363212.910468439,0.01581,-4840120.386079899,0.02053,200000,199970.06764072634,-29.93235927366186,0.9998503382036317
2020-05-02,0,-0.15291909943547738,0.0,0.01635,0.0,0.02029,200000,187481.91976743334,-12518.08023256666,0.9374095988371667
2020-05-03,0,-0.2569849351481762,0.0,0.01599,0.0,0.02005,200000,187481.91976743334,-12518.08023256666,0.9374095988371667
2020-05-04,0,0.757051511010164,0.0,0.01623,0.0,0.0189,200000,187481.91976743334,-12518.08023256666,0.9374095988371667
2020-05-05,0,0.00538445037831149,0.0,0.0159,0.0,0.01959,200000,187481.91976743334,-12518.08023256666,0.9374095988371667
2020-05-06,0,0.5212242407315006,0.0,0.01554,0.0,0.01852,200000,187481.91976743334,-12518.08023256666,0.9374095988371667
2020-05-07,2,1.313795843943946,0.0,0.01603,0.0,0.01806,200000,187481.91976743334,-12518.08023256666,0.9374095988371667
2020-05-08,0,0.8716340582641939,0.0,0.01627,0.0,0.01889,200000,187481.91976743334,-12518.08023256666,0.9374095988371667
2020-05-09,0,0.7525046036014391,0.0,0.01609,0.0,0.01879,200000,187481.91976743334,-12518.08023256666,0.9374095988371667
2020-05-10,0,-0.04835543661124847,0.0,0.01426,0.0,0.01768,200000,187481.91976743334,-12518.08023256666,0.9374095988371667
2020-05-11,0,0.29645668679786746,0.0,0.01398,0.0,0.01697,200000,187481.91976743334,-12518.08023256666,0.9374095988371667
2020-05-12,0,0.19929782512216243,0.0,0.01455,0.0,0.01785,200000,187481.91976743334,-12518.08023256666,0.9374095988371667
2020-05-13,0,0.18759699818474554,0.0,0.01501,0.0,0.01853,200000,187481.91976743334,-12518.08023256666,0.9374095988371667
