,date,open,high,low,close,volume
0,"2021-06-08, 08:00:00",0.1711,0.1732,0.1529,0.1646,104520643
1,"2021-06-09, 08:00:00",0.1646,0.1756,0.1575,0.1744,86970004
2,"2021-06-10, 08:00:00",0.1744,0.1774,0.1656,0.1702,84731847
3,"2021-06-11, 08:00:00",0.1702,0.1735,0.1619,0.164,70081632
4,"2021-06-12, 08:00:00",0.1641,0.1641,0.1522,0.1574,83655647
5,"2021-06-13, 08:00:00",0.1573,0.1677,0.1534,0.1654,57907519
6,"2021-06-14, 08:00:00",0.1655,0.1741,0.1621,0.1732,66139511
7,"2021-06-15, 08:00:00",0.1733,0.1808,0.1682,0.1761,78311973
8,"2021-06-16, 08:00:00",0.176,0.1761,0.1629,0.1651,83236959
9,"2021-06-17, 08:00:00",0.1651,0.1702,0.1587,0.1628,43177844
10,"2021-06-18, 08:00:00",0.1627,0.1631,0.1466,0.1522,66521926
11,"2021-06-19, 08:00:00",0.1521,0.1533,0.1467,0.1469,52123872
12,"2021-06-20, 08:00:00",0.1468,0.1476,0.1326,0.1422,104121525
13,"2021-06-21, 08:00:00",0.1423,0.1437,0.1062,0.1064,203281955
14,"2021-06-22, 08:00:00",0.1065,0.1118,0.0853,0.0963,345268149
15,"2021-06-23, 08:00:00",0.0964,0.1173,0.0913,0.1126,198270820
16,"2021-06-24, 08:00:00",0.1127,0.1184,0.1055,0.1168,105295478
17,"2021-06-25, 08:00:00",0.1168,0.1198,0.1051,0.1056,155608662
18,"2021-06-26, 08:00:00",0.1055,0.11,0.1014,0.1081,128927397
19,"2021-06-27, 08:00:00",0.108,0.1132,0.1053,0.1128,91937523
20,"2021-06-28, 08:00:00",0.1129,0.118,0.1102,0.1169,87633403
21,"2021-06-29, 08:00:00",0.1169,0.135,0.1164,0.1284,188878207
22,"2021-06-30, 08:00:00",0.1284,0.1345,0.1189,0.1345,164239881
23,"2021-07-01, 08:00:00",0.1344,0.1359,0.1236,0.1274,150427417
24,"2021-07-02, 08:00:00",0.1274,0.1316,0.1227,0.1313,86674355
25,"2021-07-03, 08:00:00",0.1313,0.1365,0.1281,0.1347,61348017
26,"2021-07-04, 08:00:00",0.1348,0.1404,0.1298,0.1375,64583202
27,"2021-07-05, 08:00:00",0.1374,0.1375,0.1256,0.1303,115742522
28,"2021-07-06, 08:00:00",0.1303,0.1364,0.1281,0.1332,75242103
29,"2021-07-07, 08:00:00",0.1332,0.1358,0.1303,0.1322,78722587
30,"2021-07-08, 08:00:00",0.1322,0.1323,0.1202,0.122,105769770
31,"2021-07-09, 08:00:00",0.122,0.1242,0.1148,0.1233,97194908
32,"2021-07-10, 08:00:00",0.1233,0.1252,0.1182,0.1211,54037375
33,"2021-07-11, 08:00:00",0.1211,0.1239,0.1183,0.1221,70104210
34,"2021-07-12, 08:00:00",0.1222,0.1246,0.1166,0.1196,63174148
35,"2021-07-13, 08:00:00",0.1195,0.1205,0.1129,0.1161,57216054
36,"2021-07-14, 08:00:00",0.1161,0.1176,0.1071,0.1147,97067286
37,"2021-07-15, 08:00:00",0.1147,0.1247,0.1123,0.1219,169573740
