Date,加權指數,報酬指數,台泥,亞泥,統一,台塑,南亞,台化,遠東新,中鋼,正新,和泰車,光寶科,聯電,台達電,鴻海,國巨,台積電,華碩,瑞昱,廣達,研華,南亞科,中華電,聯發科,可成,台灣高鐵,彰銀,華南金,富邦金,國泰金,開發金,玉山金,元大金,兆豐金,台新金,永豐金,中信金,第一金,統一超,大立光,台灣大,日月光投控,遠傳,和碩,中租-KY,上海商銀,合庫金,矽力-KY,台塑化,緯穎,豐泰
2017/12/1,10600.37 ,18161.64 ,23.06,23.03,55.91,79.43,63.95,79.86,22.04,22.09,46.24,318.97,30.55,13.47,122.93,106.17,204.25,207.68,225.11,96.91,52.45,166.83,63.06,92.08,290.12,286.58,21.62,13.73,13.15,44.46,47.39,8.17,14.05,11.82,20.06,11.08,7.85,17.55,16.16,248.42,4746.35,94.27,,61.79,57.1,71.38,,13.38,623.57,95.18,,90.2
2017/12/4,10651.11 ,18248.57 ,23.23,22.98,54.69,79.86,64.46,80.45,22.38,22.32,47.24,319.89,30.84,13.78,124.73,106.07,197.34,210.38,224.28,98.27,51.86,167.24,61.06,92.08,294.73,289.63,21.62,13.89,13.3,44.81,48,8.46,14.12,11.86,20.15,11.2,7.97,17.72,16.24,247.99,4547.4,93.83,,61.62,56.19,71.55,,13.46,607.86,96.5,,91.95
2017/12/5,10566.85 ,18104.22 ,23.23,22.9,55.65,80.12,64.63,81.13,22.3,22.27,48.33,318.97,31,13.65,126.52,102.42,195.69,206.33,223.86,96.91,51.35,167.24,61.56,92.08,292.89,289.63,21.53,13.89,13.34,44.99,47.56,8.29,14.16,11.77,20.06,11.24,7.95,17.81,16.24,246.25,4481.08,93.83,,61.28,57.59,71.05,,13.46,600.01,97.82,,93
2017/12/6,10393.92 ,17807.92 ,23.13,22.98,56.26,79.61,63.95,80.88,22.17,22.14,47.42,312.11,30.92,13.16,123.38,99.64,187.12,204.08,224.7,93.28,50.09,166.41,61.22,92.08,263.87,271.31,21.35,13.73,13.15,44.2,46.86,8.21,14.05,11.56,20.02,11.16,7.87,17.51,15.99,240.15,4040.55,93.4,,61.19,58.34,69.16,,13.42,589.2,96.06,,93.35
2017/12/7,10355.76 ,17742.55 ,23.2,22.73,56.26,79.61,63.52,79.69,21.82,22.09,46.61,313.94,30.59,12.86,123.38,100.28,189.1,203.63,220.94,91.93,50.43,168.5,61.56,92.52,264.79,271.31,21.17,13.73,13.11,43.46,46.08,8.09,13.97,11.43,19.81,11.03,7.89,17.38,15.99,237.98,4073.71,92.96,,61.28,58.01,69.16,,13.38,601.97,95.62,,93
2017/12/8,10398.62 ,17815.99 ,23.13,22.64,56.61,79.61,63.52,79.94,21.6,22.05,46.42,312.56,30.43,12.86,122.93,100.28,204.25,204.08,225.11,94.64,50.51,166.83,64.48,92.52,272.62,273.06,21.26,13.77,13.07,43.85,46.69,8.16,14.05,11.73,19.77,11.08,7.87,17.42,15.95,239.72,4140.03,92.53,,61.19,56.69,68.17,,13.38,608.84,95.18,,91.6
2017/12/11,10473.09 ,17943.57 ,23.33,22.56,56.09,79.52,63.27,79.44,22.04,22,46.42,311.65,31.29,13.3,123.83,102.85,196.35,204.53,222.61,94.19,50.76,169.75,65.06,92.52,275.85,280.91,21.17,13.73,13.11,43.85,46.69,8.23,14.01,11.65,19.89,11.03,7.89,17.42,15.99,240.15,4196.87,92.53,,61.71,58.26,71.71,,13.34,611.79,96.06,,94.4
2017/12/12,10443.28 ,17892.50 ,23.2,22.73,56.26,79.86,63.27,79.86,21.91,21.96,46.42,310.28,30.72,13.12,123.38,100.82,192.72,204.53,225.95,94.64,51.61,168.92,64.14,92.52,272.62,276.54,21.12,13.81,13.15,43.33,46.25,8.4,14.01,11.6,19.85,11.03,7.9,17.46,16.07,241.46,4196.87,92.53,,61.71,56.69,71.14,,13.42,621.61,96.5,,94.4
2017/12/13,10470.70 ,17939.47 ,23.33,22.81,56.96,80.03,63.61,79.86,22.04,21.96,46.24,313.48,31.37,12.99,123.83,100.39,197.01,204.08,222.61,96.45,51.86,168.5,64.39,92.52,268.02,275.67,21.53,13.85,13.19,44.03,46.51,8.4,14.05,11.6,20.06,11.12,8.03,17.55,16.03,239.28,4168.45,92.53,,62.05,56.69,71.14,,13.42,621.61,99.58,,94.05
2017/12/14,10538.01 ,18055.10 ,23.33,23.16,57.82,80.38,63.95,80.54,22.25,21.91,46.33,315.31,31.86,13.08,123.83,101.67,200.3,207.23,224.7,95.1,52.54,171.01,64.89,92.97,266.64,279.16,21.49,13.85,13.23,44.29,47.39,8.48,14.12,11.82,19.98,11.2,8.05,17.81,16.12,240.59,4073.71,92.53,,62.14,56.6,70.64,,13.38,626.52,99.58,,96.49
2017/12/15,10491.44 ,17975.30 ,23.26,23.03,57.74,79.86,63.69,80.79,22.17,21.91,46.42,312.56,31.86,12.86,122.04,100.17,203.6,206.78,225.53,92.83,51.78,169.75,65.23,93.41,262.49,280.91,21.67,13.73,13.15,43.85,46.86,8.39,14.16,11.56,20.06,11.2,8.05,17.72,16.03,241.46,3960.03,92.09,,61.28,57.51,69.49,,13.42,633.39,98.7,,96.14
2017/12/18,10506.52 ,18001.14 ,23.33,22.9,57.13,81.06,64.12,83.25,22.04,21.91,46.51,312.11,32.92,12.72,122.04,100.28,223.69,204.08,225.11,94.64,51.52,173.1,65.64,92.97,264.79,283.96,21.49,13.73,13.15,44.2,46.6,8.45,14.12,11.6,20.11,11.2,8.02,17.77,16.03,246.25,4078.45,92.96,,62.57,58.09,69.49,,13.42,623.57,101.35,,94.74
2017/12/19,10467.34 ,17934.02 ,23.57,22.9,56,81.15,64.2,83.42,21.99,21.82,46.33,309.36,32.27,12.77,122.49,97.71,219.41,202.28,227.61,93.28,51.27,174.35,66.39,92.97,270.78,285.27,21.3,13.81,13.19,44.29,47.47,8.56,14.12,11.65,20.02,11.24,8.04,17.55,16.03,240.15,3960.03,92.09,,62.4,59.33,68.41,,13.46,632.41,102.23,,94.05
2017/12/20,10504.52 ,17997.71 ,23.64,23.03,56.61,81.15,64.63,83.25,22.38,21.87,46.61,312.56,32.59,12.81,122.93,99.32,226,201.83,227.61,93.74,52.37,176.44,67.48,93.41,269.4,286.58,21.4,13.77,13.15,44.2,47.13,8.77,14.12,11.65,20.02,11.2,8.05,17.51,16.07,241.89,4007.4,92.53,,62.48,59.74,68.99,,13.38,628.48,100.47,,94.74
2017/12/21,10488.97 ,17971.08 ,23.64,22.98,56.43,81.23,64.71,82.74,22.21,21.91,46.24,311.65,32.1,12.68,123.83,98.89,221.71,202.28,227.61,93.28,51.52,176.86,65.81,92.97,267.1,289.19,21.35,13.77,13.19,44.2,46.95,8.6,14.12,11.56,19.98,11.2,8.07,17.34,16.12,237.11,3912.66,92.53,,61.79,59.33,70.56,,13.42,634.38,100.47,,93.35
2017/12/22,10537.27 ,18053.82 ,24.05,23.28,56.78,81.66,64.97,82.57,22.56,22.09,46.42,316.23,32.27,12.64,125.18,99.53,225.67,204.53,228.45,95.55,51.95,176.02,64.89,93.41,267.56,291.38,21.26,13.81,13.27,44.55,47.04,8.72,14.16,11.65,20.15,11.24,8.15,17.46,16.16,238.41,3978.98,92.53,,62.83,59.74,70.15,,13.42,632.41,99.58,,93
2017/12/25,10522.49 ,18028.50 ,24.74,23.33,56.52,82.17,65.23,82.91,22.51,22,46.06,315.77,32.59,12.68,126.08,98.67,227.32,205.43,228.45,98.27,51.86,175.19,63.56,93.85,264.33,287.45,21.35,13.81,13.23,44.38,46.69,8.72,14.12,11.6,20.15,11.24,8.12,17.34,16.12,238.41,3789.5,92.53,,62.57,59.33,70.15,,13.38,633.39,99.58,,93
2017/12/26,10421.91 ,17856.19 ,24.91,23.37,56.26,82.17,65.23,82.99,22.38,22.05,46.06,314.85,32.59,12.33,125.18,97.71,211.5,203.18,225.11,96.91,51.69,173.52,61.81,93.41,257.89,274.8,21.26,13.77,13.19,43.85,46.17,8.64,14.05,11.52,20.11,11.24,8.05,17.25,16.07,238.41,3789.5,92.53,,62.66,57.84,69.07,,13.38,634.38,99.14,,93
2017/12/27,10486.67 ,17967.13 ,24.77,23.37,56.69,84.31,66.08,85.53,22.47,22.18,46.24,315.77,32.88,12.46,125.63,98.78,221.39,202.28,227.61,97.81,51.78,173.93,61.72,93.85,260.65,279.6,21.3,13.81,13.23,44.03,46.95,8.68,14.12,11.65,20.19,11.32,8.02,17.51,16.12,239.28,3604.76,93.83,,62.92,58.67,71.05,,13.42,641.25,103.11,,94.74
2017/12/28,10567.64 ,18105.87 ,24.77,23.75,57.56,82.94,65.82,85.11,22.77,22.32,47.33,320.34,32.92,12.55,126.97,101.03,224.68,203.18,231.37,98.27,51.95,173.93,63.64,93.41,263.41,286.58,21.58,13.85,13.23,44.38,46.95,8.68,14.16,11.69,20.27,11.28,8.06,17.46,16.2,246.68,3827.4,94.27,,63.26,59.41,71.14,,13.46,657.94,102.23,,94.74
2017/12/29,10642.86 ,18234.75 ,24.94,24.14,57.39,84.48,66.42,87.23,23.2,22.36,47.7,324.01,33.17,12.46,128.77,101.99,232.59,206.33,233.03,98.72,52.28,176.02,63.56,93.85,270.78,286.14,21.49,13.89,13.27,44.29,46.69,8.72,14.2,11.69,20.36,11.32,8.13,17.68,16.28,247.12,3808.45,93.4,,63.43,59.5,71.47,,13.5,667.76,101.79,,94.74
